# HL,# Node,Activation Function,Dropout,Batch Size,AUC Train,AUC Test 1,AUC Test 2
2,4,relu,0.5,100,0.9381169992587897,0.9419766991627501,0.9349819863474691
2,4,relu,0.5,10000,0.9124127976295804,0.9166472921309767,0.9072736381517412
2,4,relu,0.0,100,0.9405860143042741,0.9442095399952408,0.9368739607922046
2,4,relu,0.0,10000,0.8892241663146715,0.8960769069617228,0.8875342643357227
2,4,tanh,0.5,100,0.9370111922219522,0.9407834629590671,0.933440066130505
2,4,tanh,0.5,10000,0.9106096274679385,0.9149088540248873,0.9063545036771405
2,4,tanh,0.0,100,0.941083315688489,0.9440613817811419,0.9368436285940857
2,4,tanh,0.0,10000,0.9183604474772601,0.919901459180561,0.9137702526250265
2,6,relu,0.5,100,0.9392247267547396,0.9430600761595649,0.93545995521395
2,6,relu,0.5,10000,0.797351570654332,0.8041520159897629,0.7905526136224915
2,6,relu,0.0,100,0.9417284563531347,0.944736942586478,0.9378129819397443
2,6,relu,0.0,10000,0.9143953046050552,0.9139058062195091,0.9104004228945479
2,6,tanh,0.5,100,0.9367099907546761,0.9400830905527616,0.9330172519326947
2,6,tanh,0.5,10000,0.9283069394116726,0.9314089606610543,0.9239222126331281
2,6,tanh,0.0,100,0.9416013647109766,0.9445301163328715,0.9373290011569855
2,6,tanh,0.0,10000,0.9237952539156224,0.9277160246211222,0.9195100113184727
4,4,relu,0.5,100,0.9375560622094086,0.9412942131768038,0.9346856663117292
4,4,relu,0.5,10000,0.5351648414556462,0.5398510897432268,0.5307740093983326
4,4,relu,0.0,100,0.9414787465695758,0.9446580361784793,0.9378354226009828
4,4,relu,0.0,10000,0.8962312629822202,0.8954145577168796,0.8916884841356291
4,4,tanh,0.5,100,0.9362368671157053,0.9401948806800091,0.9330315427885731
4,4,tanh,0.5,10000,0.9259772655315478,0.9270609054390543,0.9217169011294885
4,4,tanh,0.0,100,0.9414200519952115,0.9446945930019089,0.9376980668145148
4,4,tanh,0.0,10000,0.9283526443345929,0.9333567947418571,0.9248265110183932
4,6,relu,0.5,100,0.9177349015074341,0.9219745998312695,0.9144916538818986
4,6,relu,0.5,10000,0.9113852184072351,0.9161363386584631,0.9071394820247718
4,6,relu,0.0,100,0.9413437132445001,0.9445878552076852,0.9372653666732305
4,6,relu,0.0,10000,0.9198979336434416,0.9243815428982999,0.9166892173311466
4,6,tanh,0.5,100,0.9366349819636492,0.940655136603906,0.9333300437581417
4,6,tanh,0.5,10000,0.9288764320229015,0.9309406326188785,0.92487992954895
4,6,tanh,0.0,100,0.9409805100052713,0.9434018490667775,0.9367784588477013
4,6,tanh,0.0,10000,0.9264684434901331,0.9296055536173761,0.9234328225605437
