n_estimators,learning_rate,Subsample %,Features,% Weight of Default,AUC Train,AUC Test 1,AUC Test 2
50,0.01,50.0%,50.0%,1,0.9438499350978338,0.9437166616796655,0.9370853248463632
50,0.01,80.0%,50.0%,1,0.9441408302125373,0.9434398577100417,0.9369792338941911
50,0.01,50.0%,50.0%,5,0.9430747589777054,0.9428358280679457,0.9360361665404691
50,0.01,80.0%,50.0%,5,0.9431490202926465,0.9428271607035343,0.9360325507817528
50,0.01,50.0%,50.0%,10,0.9427512975523544,0.9424203317495431,0.9354388919846033
50,0.01,80.0%,50.0%,10,0.9428800812024888,0.9423962460584906,0.9357351833238452
100,0.01,50.0%,50.0%,1,0.9450853093321235,0.944460893563168,0.937873445460498
100,0.01,80.0%,50.0%,1,0.9454651507611171,0.9444201264622186,0.9378596280968328
100,0.01,50.0%,50.0%,5,0.9444526239302993,0.9437666913911585,0.9370195955182727
100,0.01,80.0%,50.0%,5,0.9446383139568694,0.9437178086173347,0.937114322657337
100,0.01,50.0%,50.0%,10,0.9441712249014196,0.9433095859163023,0.936487548101787
100,0.01,80.0%,50.0%,10,0.9445270689413292,0.9434806393291895,0.9368586512106566
300,0.01,50.0%,50.0%,1,0.9483184092618739,0.9460025810453015,0.9394530585272534
300,0.01,80.0%,50.0%,1,0.9487366939403925,0.9459798600648932,0.9394118216599903
300,0.01,50.0%,50.0%,5,0.9481527735043386,0.9455281118052262,0.9389929245341224
300,0.01,80.0%,50.0%,5,0.9484884717611617,0.9456429943087211,0.9389836699135988
300,0.01,50.0%,50.0%,10,0.9480635265964483,0.9451793411264118,0.9385991368437835
300,0.01,80.0%,50.0%,10,0.9485221335684857,0.9453024990029628,0.9387108953542608
50,0.1,50.0%,50.0%,1,0.9502961701983943,0.9459585473497246,0.9394877238965321
50,0.1,80.0%,50.0%,1,0.9507876681221675,0.9461928565527961,0.9396976961705499
50,0.1,50.0%,50.0%,5,0.9502249923058059,0.9452884018323708,0.9388888136402948
50,0.1,80.0%,50.0%,5,0.9508705297540037,0.9457841983058134,0.9395826662593295
50,0.1,50.0%,50.0%,10,0.9499118759762029,0.9451906943575168,0.9386025373787665
50,0.1,80.0%,50.0%,10,0.9507927054029215,0.9452421032978524,0.9388827586792701
100,0.1,50.0%,50.0%,1,0.9560766305536188,0.945387546608861,0.9394414364456656
100,0.1,80.0%,50.0%,1,0.956935482580247,0.9460884126339105,0.939747470245893
100,0.1,50.0%,50.0%,5,0.9554041999979881,0.9451916670768058,0.9393131057077391
100,0.1,80.0%,50.0%,5,0.9566781978379625,0.9457504725310607,0.9395936139732199
100,0.1,50.0%,50.0%,10,0.9546899702322824,0.9451338556110006,0.9384682234210597
100,0.1,80.0%,50.0%,10,0.9561286753295605,0.9449904158113632,0.9388751110626204
300,0.1,50.0%,50.0%,1,0.971667648405365,0.9434293320162425,0.937369506263556
300,0.1,80.0%,50.0%,1,0.9737742624625406,0.944498640878862,0.9382767890845869
300,0.1,50.0%,50.0%,5,0.9703275540406172,0.9431467352854794,0.9374001971678966
300,0.1,80.0%,50.0%,5,0.9722550330156647,0.9444562622578964,0.9374972774197761
300,0.1,50.0%,50.0%,10,0.9678327694397789,0.9428031330852755,0.9367320422625949
300,0.1,80.0%,50.0%,10,0.9709549102519023,0.9436867106364822,0.9370842200312
50,0.01,50.0%,100.0%,1,0.9447304565831088,0.9437978038902094,0.937626827758857
50,0.01,80.0%,100.0%,1,0.9444235084341821,0.9434315097459941,0.9372477757201112
50,0.01,50.0%,100.0%,5,0.9435140805323388,0.9429790065400128,0.9365650716904516
50,0.01,80.0%,100.0%,5,0.9434917370760416,0.9424762122949686,0.9362104977642846
50,0.01,50.0%,100.0%,10,0.9432248026112044,0.9419924514079532,0.9354158056521655
50,0.01,80.0%,100.0%,10,0.9431343185936527,0.9419556477751514,0.935578988286606
100,0.01,50.0%,100.0%,1,0.9458372175036376,0.9445010654179856,0.9382820405436747
100,0.01,80.0%,100.0%,1,0.9458840760379968,0.9440986354780923,0.938204072159295
100,0.01,50.0%,100.0%,5,0.9450363072314016,0.9438206555344025,0.9372217623449032
100,0.01,80.0%,100.0%,5,0.9450830274927048,0.943549353961951,0.9372000103996108
100,0.01,50.0%,100.0%,10,0.9447595446918089,0.9429583906983645,0.9362860556428534
100,0.01,80.0%,100.0%,10,0.9447486565236232,0.9430464726077167,0.9366510320494539
300,0.01,50.0%,100.0%,1,0.9492308551234636,0.9460602473291235,0.939902517423222
300,0.01,80.0%,100.0%,1,0.9494655044996657,0.9458160657511782,0.9396181925235407
300,0.01,50.0%,100.0%,5,0.9490760066682615,0.945633746216376,0.939286188392852
300,0.01,80.0%,100.0%,5,0.9493481681218134,0.9454141439482269,0.9393075385871762
300,0.01,50.0%,100.0%,10,0.9490571046746941,0.9452021056614152,0.9387639695268446
300,0.01,80.0%,100.0%,10,0.9493007979103479,0.9451801686637176,0.939015236061121
50,0.1,50.0%,100.0%,1,0.9512032882054164,0.9460270877641059,0.9400013912062108
50,0.1,80.0%,100.0%,1,0.951680150560788,0.9457433440956737,0.9401515312824251
50,0.1,50.0%,100.0%,5,0.9512260064017352,0.9455074378907846,0.9393768980222316
50,0.1,80.0%,100.0%,5,0.9517987467598181,0.9454107176534177,0.9400694019058721
50,0.1,50.0%,100.0%,10,0.9511209148711843,0.9449393698259864,0.9390615809049832
50,0.1,80.0%,100.0%,10,0.9517540224400203,0.9454082205233026,0.9392978104744397
100,0.1,50.0%,100.0%,1,0.957463621527915,0.9455872444270808,0.9395998985062266
100,0.1,80.0%,100.0%,1,0.9581983390854257,0.94541131289955,0.9401410857572453
100,0.1,50.0%,100.0%,5,0.9566077687574315,0.9445543907605024,0.9387694075131677
100,0.1,80.0%,100.0%,5,0.9576111495269732,0.9453171769014884,0.9396192973387041
100,0.1,50.0%,100.0%,10,0.9556094827154205,0.944869305000779,0.9386618386913617
100,0.1,80.0%,100.0%,10,0.9572688676023196,0.9452199630453781,0.9388273600903688
300,0.1,50.0%,100.0%,1,0.9749445655302263,0.9430781077619079,0.9364123202329421
300,0.1,80.0%,100.0%,1,0.9764350662447508,0.9436461322721111,0.937999466130356
300,0.1,50.0%,100.0%,5,0.9729810901375601,0.9414834433740177,0.9363170765569184
300,0.1,80.0%,100.0%,5,0.9748099456883476,0.9435578616261806,0.9374486081595965
300,0.1,50.0%,100.0%,10,0.9703475795862637,0.9424888286093294,0.936393036186456
300,0.1,80.0%,100.0%,10,0.9731031251273764,0.9436081817016402,0.9360564406161275
